Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
CAR,CAR1626,"CAPTURA DE CARBONO EN LOS BOSQUES DE CONIFERAS Y LATIFOLIADAS EN EL EJIDO CHAVARRIA VIEJO,MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO",Forestry - MX,MX,[],6/11/2024,0,3714,
CAR,CAR1455,"Captura de carbono en los Bosques de la Comunidad Indígena Nuevo San Juan Parangaricutiro, México.",Forestry - MX,MX,[],8/27/2022,0,3429,
CAR,CAR1625,"CAPTURA DE CARBONO EN LOS BOSQUES DEL EJIDO SAN PABLO, MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO",Forestry - MX,MX,[],9/10/2024,0,252,
CAR,CAR1325,Captura de Carbono Forestal Ejido San Lucas,Forestry - MX,MX,[],5/9/2024,0,1388,
CAR,CAR1522,Captura de carbono forestal en el ejido Amanalco de Becerra,Forestry - MX,MX,[],8/23/2023,0,744,
CAR,CAR1529,Captura de carbono forestal en el ejido Capilla Vieja,Forestry - MX,MX,[],4/13/2023,0,162,
CAR,CAR1528,Captura de carbono forestal en el ejido La Candelaria,Forestry - MX,MX,[],3/31/2023,0,96,
CAR,CAR1526,Captura de carbono forestal en el ejido Nuevo San Juan Atezcapan,Forestry - MX,MX,[],7/3/2023,0,60,
CAR,CAR1521,Captura de carbono forestal en el ejido San Francisco Oxtotilpan,Forestry - MX,MX,[],4/29/2024,0,6634,
CAR,CAR1527,Captura de carbono forestal en el ejido San Miguel Sultepec,Forestry - MX,MX,[],4/13/2023,0,17,
CAR,CAR1523,Captura de carbono forestal en el ejido San Miguel Tenextepec,Forestry - MX,MX,[],7/3/2023,0,1372,
CAR,CAR1524,Captura de carbono forestal en los Bienes Comunales de San Miguel Ixtapan,Forestry - MX,MX,[],10/5/2023,0,1187,
CAR,CAR1525,Captura de carbono forestal en los Bienes Comunales de San Miguel Xoltepec,Forestry - MX,MX,[],5/24/2023,0,514,
CAR,CAR1333,Captura de Carbono San Bartolo O2,Forestry - MX,MX,[],3/24/2023,0,2688,
CAR,CAR825,Cedar Grove Composting,Organic Waste Composting,US,[],7/25/2024,0,22618,
CAR,CAR1348,Chacalapa - ASRTulancingo,Forestry - MX,MX,[],4/8/2024,0,10,
CAR,CAR473,Davis Landfill Gas Offset Project,Landfill Gas Capture/Combustion,US,[],7/25/2024,0,2030,
CAR,CAR1542,Ejido Atopixco,Forestry - MX,MX,[],5/24/2023,0,1165,
CAR,CAR1545,Ejido La Selva,Forestry - MX,MX,[],1/10/2023,0,3793,
CAR,CAR1543,Ejido Malila,Forestry - MX,MX,[],4/13/2023,0,14,
CAR,CAR1544,Ejido Zacualtipán,Forestry - MX,MX,[],4/13/2023,0,40,
CAR,CAR1345,El Nopalillo - ASRTulancingo,Forestry - MX,MX,[],9/4/2023,0,7,
CAR,CAR1350,El Ocote - ASRTulancingo,Forestry - MX,MX,[],9/4/2023,0,25,
CAR,CAR444,Erie County Landfill,Landfill Gas Capture/Combustion,US,[],8/22/2022,0,1800,
CAR,CAR996,Farm Power Misty Meadow Anaerobic Digester,Livestock Gas Capture/Combustion,US,[],7/25/2024,0,9987,
CAR,CAR416,Farm Power Rexville Regional Digester,Livestock Gas Capture/Combustion,US,[],7/25/2024,0,5123,
CAR,CAR988,Farm Power Tillamook Regional Digester,Livestock Gas Capture/Combustion,US,[],7/25/2024,0,8800,
CAR,CAR495,Greenville County Landfill Gas Utilization Project,Landfill Gas Capture/Combustion,US,[],12/13/2023,0,5000,
CAR,CAR489,Hidden View Dairy,Livestock Gas Capture/Combustion,US,[],5/31/2024,0,635,
CAR,CAR1353,Hueyapan - ASRTulancingo,Forestry - MX,MX,[],9/5/2023,0,5,
CAR,CAR838,IESI-Trinity Timber Ridge Landfill Carbon Project,Landfill Gas Capture/Combustion,US,[],3/2/2022,0,4597,
CAR,CAR1259,Lightning Creek Ranch,Avoided Grassland Conversion,US,[],5/2/2024,0,70,
CAR,CAR1361,Los Romeros - ASRTulancingo,Forestry - MX,MX,[],3/20/2024,0,14,
CAR,CAR1559,Nutrien NMPP Project,Nitrogen Management,US,[],11/29/2023,0,588,
CAR,CAR1377,Proyecto de Captura de Carbono Forestal en Bienes Comunales de Santiago Tlacotepec,Forestry - MX,MX,[],11/6/2023,0,2000,
CAR,CAR1465,Pueblos Mancomunados de Oaxaca,Forestry - MX,MX,[],1/20/2023,0,863,
CAR,CAR1363,Puentecillas y Anexos - ASRTulancingo,Forestry - MX,MX,[],3/31/2023,0,160,
CAR,CAR886,Roseburg LFG Energy,Landfill Gas Capture/Combustion,US,[],9/25/2023,0,1985,
CAR,CAR1358,Sabanetas - ASRTulancingo,Forestry - MX,MX,[],3/20/2024,0,14,
CAR,CAR1388,San Jerónimo ZacapexCO2 - Bienes Comunales,Forestry - MX,MX,[],4/3/2023,0,999,
CAR,CAR1387,San Jerónimo ZacapexCO2 - Ejido,Forestry - MX,MX,[],1/20/2023,0,7067,
CAR,CAR1357,San Lorenzo Sayula - ASRTulancingo,Forestry - MX,MX,[],9/4/2023,0,5,
CAR,CAR1351,Sangre de Cristo - ASRTulancingo,Forestry - MX,MX,[],12/19/2022,0,91,
CAR,CAR844,Sudbury Road Landfill Gas Destruction Project,Landfill Gas Capture/Combustion,US,[],7/29/2022,0,890,
CAR,CAR911,Surry County Landfill,Landfill Gas Capture/Combustion,US,[],10/16/2023,0,856,
CAR,CAR1359,Tecocomulco - ASRTulancingo,Forestry - MX,MX,[],9/4/2023,0,5,
CAR,CAR1398,Veseth and Veseth Ranch,Avoided Grassland Conversion,US,[],3/21/2023,0,5818,
CAR,CAR1352,Xahuayalulco - ASRTulancingo,Forestry - MX,MX,[],4/25/2023,0,70,
CAR,CAR1364,Alhuajoyucan - ASRTulancingo,Forestry - MX,MX,[],8/6/2021,0,152,
CAR,CAR517,Anson County Landfill,Landfill Gas Capture/Combustion,US,[],4/1/2024,0,79248,
CAR,CAR659,Blue Source - Pungo River Forest Conservation Project,Avoided Conversion,US,[],9/30/2022,0,592,
CAR,CAR1453,Captura de carbono forestal en el  Ejido Rincón de Guadalupe,Forestry - MX,MX,[],12/19/2023,0,1370,
CAR,CAR1446,Captura de carbono forestal en el Ejido Corral de Piedra,Forestry - MX,MX,[],12/19/2023,0,658,
CAR,CAR1448,Captura de carbono forestal en el Ejido El Capulín,Forestry - MX,MX,[],12/19/2023,0,3485,
CAR,CAR1454,Captura de carbono forestal en el Ejido El Potrero,Forestry - MX,MX,[],12/19/2023,0,2249,
CAR,CAR1450,Captura de carbono forestal en el Ejido San Jerónimo,Forestry - MX,MX,[],12/19/2023,0,2819,
